2023-06-02T05:01:24 CEST,1
2023-06-02T05:01:35 CEST,1
2023-06-02T05:01:46 CEST,1
2023-06-02T05:01:57 CEST,1
2023-06-02T05:02:08 CEST,1
2023-06-02T05:02:19 CEST,1
2023-06-02T05:02:31 CEST,1
2023-06-02T05:02:42 CEST,1
2023-06-02T05:02:52 CEST,1
2023-06-02T05:03:03 CEST,1
2023-06-02T05:03:14 CEST,1
2023-06-02T05:04:42 CEST,1
2023-06-02T05:04:53 CEST,1
2023-06-02T05:05:34 CEST,1
2023-06-02T05:05:45 CEST,1
2023-06-02T05:27:01 CEST,1
2023-06-02T05:27:06 CEST,1
2023-06-02T05:27:35 CEST,1
2023-06-02T05:27:40 CEST,1
2023-06-02T05:27:46 CEST,1
2023-06-02T05:27:57 CEST,1
2023-06-02T05:28:09 CEST,1
2023-06-02T05:28:19 CEST,1
2023-06-02T05:28:30 CEST,1
2023-06-02T05:28:41 CEST,1
2023-06-02T05:28:52 CEST,1
2023-06-02T05:29:03 CEST,1
2023-06-02T05:29:14 CEST,1
2023-06-02T05:29:25 CEST,1
2023-06-02T05:29:36 CEST,1
2023-06-02T05:29:47 CEST,1
2023-06-02T05:29:58 CEST,1
2023-06-02T05:30:09 CEST,1
2023-06-02T05:30:20 CEST,1
2023-06-02T05:30:31 CEST,1
2023-06-02T05:30:42 CEST,1
